City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
528,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Hotel Takara
531,Savalou,BJ,85.82,clear sky,7.9281,1.9756,BENIN CALYPSO Hôtel
534,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Tropic Hotel
535,Cerro Punta,PA,65.1,light rain,8.85,-82.5667,Lina house
542,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,Hotel del Valle
548,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Q-Hotel Grand Dafam
549,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
550,San Juan,AR,71.71,overcast clouds,-31.5375,-68.5364,Hotel San Francisco
552,Tual,ID,83.48,broken clouds,-5.6667,132.75,Suita
554,Mitsamiouli,KM,80.62,overcast clouds,-11.3847,43.2844,Hotel le Paradis
558,Victor Harbor,AU,54.68,broken clouds,-35.5667,138.6167,Hotel Victor
560,Vao,NC,78.78,scattered clouds,-22.6667,167.4833,Nataiwatch
566,Alexandria,EG,61.34,few clouds,31.2156,29.9553,Smoha Zahran Haus (7th floor)
568,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
571,Codigoro,IT,50.09,broken clouds,44.8311,12.1142,Albergo Pizzeria Da Elo
572,Praia Da Vitoria,PT,61.05,scattered clouds,38.7333,-27.0667,Salles
577,Puerto Escondido,MX,84.72,few clouds,15.85,-97.0667,Hotel Barlovento
579,Tarakan,ID,77.23,light rain,3.3,117.6333,Hotel Dynasty
584,Ajdabiya,LY,64.11,scattered clouds,30.7554,20.2263,فندق المدينة
587,Bac Lieu,VN,74.37,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
591,Lakes Entrance,AU,58.15,scattered clouds,-37.8811,147.981,Banjo Patterson Motor Inn
597,Ambilobe,MG,75.79,moderate rain,-13.2,49.05,Hôtel National
598,Gunnedah,AU,65.28,overcast clouds,-30.9833,150.25,The Court House
600,Maralal,KE,59.81,overcast clouds,1.0968,36.698,Peacock Rest House
601,Muros,ES,60.67,overcast clouds,42.7762,-9.0603,Pensión Ría de Muros
606,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
607,Viedma,AR,69.55,overcast clouds,-40.8135,-62.9967,Níjar
609,Prescott,US,52.34,clear sky,34.54,-112.4685,Hilton Garden Inn Prescott Downtown
618,Iquique,CL,73.44,clear sky,-20.2208,-70.1431,Hostal Vivar
621,Teguise,ES,68.22,clear sky,29.0605,-13.564,Finca Las Laderas
623,Gizo,SB,78.3,moderate rain,-8.103,156.8419,Gizo Hotel
624,Newcastle,AU,66.7,overcast clouds,-32.9272,151.7765,Crowne Plaza Newcastle
627,Coromandel,BR,77.04,scattered clouds,-18.4733,-47.2003,Hotel Rodoviário
628,Rio Gallegos,AR,59.05,few clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
630,Aneho,TG,84.4,few clouds,6.2333,1.6,BECCA hôtel
641,Nuevitas,CU,84.04,clear sky,21.5453,-77.2644,Hotel Caonaba
643,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Solar Windelo
646,Camargo,MX,57.18,clear sky,27.6667,-105.1667,Hotel Santa Fe
